response_id,control_doc_id,test_doc_id,stance,chose_control,confidence,time_spent_seconds,expanded_control,expanded_test,tercile
1312,P19_AGAINST,P44_AGAINST,AGAINST,True,,193.5,True,True,early
1313,P33_FOR,P30_FOR,FOR,False,,19.4,False,False,middle
1314,P27_FOR,P42_FOR,FOR,True,,43.2,False,False,early
1315,P43_FOR,P24_FOR,FOR,False,4,65.7,False,False,early
1316,P17_AGAINST,P16_AGAINST,AGAINST,True,1,65.0,False,False,early
1317,P39_FOR,P16_FOR,FOR,True,3,34.9,False,False,middle
1318,P33_AGAINST,P22_AGAINST,AGAINST,True,2,64.4,False,False,middle
1319,P27_AGAINST,P44_AGAINST,AGAINST,True,,28.8,False,False,middle
1320,P19_AGAINST,P18_AGAINST,AGAINST,False,1,29.8,False,False,late
1321,P25_FOR,P40_FOR,FOR,False,,19.4,False,False,early
1322,P17_FOR,P18_FOR,FOR,False,,48.2,False,False,early
1323,P29_AGAINST,P44_AGAINST,AGAINST,True,,47.3,False,False,early
1324,P29_FOR,P30_FOR,FOR,False,,12.6,False,False,middle
1325,P43_FOR,P16_FOR,FOR,True,,72.9,False,False,middle
1326,P27_FOR,P32_FOR,FOR,True,,117.7,False,False,middle
1327,P19_FOR,P22_FOR,FOR,False,,54.3,False,False,late
1328,P25_AGAINST,P16_AGAINST,AGAINST,False,,56.4,False,False,late
1329,P39_AGAINST,P40_AGAINST,AGAINST,False,,21.6,False,False,late
1330,P45_AGAINST,P32_AGAINST,AGAINST,False,3,13.4,False,False,early
1331,P29_AGAINST,P42_AGAINST,AGAINST,True,1,33.7,False,False,early
1332,P39_FOR,P32_FOR,FOR,False,3,40.8,False,False,early
1333,P25_AGAINST,P30_AGAINST,AGAINST,False,5,20.5,False,False,early
1334,P29_FOR,P22_FOR,FOR,False,1,31.9,False,False,early
1335,P45_FOR,P16_FOR,FOR,True,4,17.0,False,False,early
1336,P17_AGAINST,P16_AGAINST,AGAINST,False,1,26.3,False,False,middle
1337,P19_AGAINST,P24_AGAINST,AGAINST,False,,103.6,False,False,middle
1338,P25_FOR,P44_FOR,FOR,True,3,37.8,False,False,middle
1339,P33_FOR,P30_FOR,FOR,False,3,11.6,False,False,middle
1340,P43_AGAINST,P22_AGAINST,AGAINST,False,5,13.0,False,False,middle
1341,P39_AGAINST,P26_AGAINST,AGAINST,False,4,13.4,False,False,middle
1342,P27_FOR,P26_FOR,FOR,False,3,26.3,False,False,late
1343,P33_AGAINST,P44_AGAINST,AGAINST,True,4,26.4,False,False,late
1344,P19_FOR,P42_FOR,FOR,False,1,16.7,False,False,late
1345,P43_FOR,P34_FOR,FOR,False,4,14.2,False,False,late
1346,P17_FOR,P48_FOR,FOR,False,3,12.4,False,False,late
1347,P27_AGAINST,P18_AGAINST,AGAINST,True,5,11.6,False,False,late
1348,P17_FOR,P34_FOR,FOR,True,,89.9,False,False,early
1349,P17_AGAINST,P16_AGAINST,AGAINST,True,,259.6,False,False,early
1350,P29_FOR,P40_FOR,FOR,True,,16.3,False,False,early
1351,P33_AGAINST,P34_AGAINST,AGAINST,True,,30.1,False,False,early
1352,P39_FOR,P24_FOR,FOR,False,,81.3,False,False,early
1353,P19_FOR,P22_FOR,FOR,False,,120.5,False,False,early
1354,P45_FOR,P32_FOR,FOR,True,,107.9,False,False,middle
1355,P29_AGAINST,P32_AGAINST,AGAINST,False,,28.5,False,False,middle
1356,P43_FOR,P18_FOR,FOR,False,,34.9,False,False,middle
1357,P43_AGAINST,P30_AGAINST,AGAINST,True,,85.2,False,False,middle
1358,P19_AGAINST,P26_AGAINST,AGAINST,False,,114.9,False,False,middle
1359,P45_AGAINST,P18_AGAINST,AGAINST,True,,69.8,False,False,middle
1360,P39_AGAINST,P24_AGAINST,AGAINST,False,,28.0,False,False,late
1361,P25_FOR,P48_FOR,FOR,False,,47.3,False,False,late
1362,P27_AGAINST,P22_AGAINST,AGAINST,False,,42.1,False,False,late
1363,P27_FOR,P16_FOR,FOR,True,,17.1,False,False,late
1364,P25_AGAINST,P42_AGAINST,AGAINST,False,,75.7,False,False,late
1365,P33_FOR,P44_FOR,FOR,False,,52.9,False,False,late
1366,P27_AGAINST,P26_AGAINST,AGAINST,False,,10.7,False,False,early
1367,P45_FOR,P40_FOR,FOR,False,,37.3,False,False,early
1368,P39_AGAINST,P44_AGAINST,AGAINST,True,,10.9,False,False,early
1369,P29_FOR,P48_FOR,FOR,False,,10.8,False,False,early
1370,P25_FOR,P22_FOR,FOR,False,,13.6,False,False,early
1371,P33_AGAINST,P16_AGAINST,AGAINST,False,,18.9,False,False,early
1372,P27_FOR,P18_FOR,FOR,False,,11.8,False,False,middle
1373,P43_AGAINST,P42_AGAINST,AGAINST,True,,13.4,False,False,middle
1374,P17_AGAINST,P32_AGAINST,AGAINST,False,,12.2,False,False,middle
1375,P19_FOR,P44_FOR,FOR,True,,19.0,False,False,middle
1376,P45_AGAINST,P40_AGAINST,AGAINST,False,,34.2,False,False,middle
1377,P33_FOR,P16_FOR,FOR,True,,10.6,False,False,middle
1378,P39_FOR,P32_FOR,FOR,True,,11.4,False,False,late
1379,P19_AGAINST,P18_AGAINST,AGAINST,False,,10.7,False,False,late
1380,P29_AGAINST,P24_AGAINST,AGAINST,True,,10.7,False,False,late
1381,P25_AGAINST,P34_AGAINST,AGAINST,True,,10.6,False,False,late
1382,P43_FOR,P26_FOR,FOR,False,,10.6,False,False,late
1383,P17_FOR,P24_FOR,FOR,False,,10.5,False,False,late
1384,P29_AGAINST,P18_AGAINST,AGAINST,True,,147.7,True,False,early
1385,P19_FOR,P44_FOR,FOR,False,3,151.7,False,False,middle
1386,P27_AGAINST,P24_AGAINST,AGAINST,False,,98.3,False,False,late
1387,P45_FOR,P26_FOR,FOR,True,,22.9,False,False,early
1388,P17_FOR,P40_FOR,FOR,True,5,14.2,False,False,early
1389,P29_AGAINST,P26_AGAINST,AGAINST,True,,10.7,False,False,early
1390,P43_AGAINST,P40_AGAINST,AGAINST,False,,12.6,False,False,middle
1391,P27_AGAINST,P18_AGAINST,AGAINST,True,,11.4,False,False,middle
